"STATION_NUMBER","year","month","monthly_mean"
"08NN003",1914,2,48.133
"08NN003",1914,3,7.936
"08NN003",1914,4,47.043
"08NN003",1914,5,78.735
"08NN003",1914,6,46.753
"08NN003",1914,7,9.879
"08NN003",1914,8,1.304
"08NN003",1914,9,2.591
"08NN003",1915,1,4.944
"08NN003",1915,2,5.167
"08NN003",1915,3,5.733
"08NN003",1915,4,25.594
"08NN003",1915,5,52.313
"08NN003",1915,6,24.273
"08NN003",1915,7,15.846
"08NN003",1915,8,7.001
"08NN003",1915,9,2.672
"08NN003",1915,10,3.066
"08NN003",1915,11,4.196
"08NN003",1915,12,4.976
"08NN003",1916,2,1.853
"08NN003",1916,3,2.679
"08NN003",1916,4,15.251
"08NN003",1916,5,42.655
"08NN003",1916,6,38.423
"08NN003",1916,7,21.383
"08NN003",1916,8,4.719
"08NN003",1916,9,2.069
"08NN003",1916,10,1.541
"08NN003",1916,11,1.514
"08NN003",1916,12,1.171
"08NN003",1917,1,0.991
"08NN003",1917,2,0.991
"08NN003",1917,3,0.997
"08NN003",1917,4,2.974
"08NN003",1917,5,47.239
"08NN003",1917,6,43.557
"08NN003",1917,7,8.896
"08NN003",1917,8,1.679
"08NN003",1917,9,1.287
"08NN003",1917,10,1.294
"08NN003",1917,11,1.799
"08NN003",1917,12,1.27
"08NN003",1918,1,1.7
"08NN003",1918,2,1.56
"08NN003",1918,3,1.84
"08NN003",1918,4,17.147
"08NN003",1918,5,38.952
"08NN003",1918,6,24.315
"08NN003",1918,7,4.764
"08NN003",1918,8,3.093
"08NN003",1918,9,1.315
"08NN003",1918,10,1.591
"08NN003",1918,11,1.964
"08NN003",1918,12,1.42
"08NN003",1919,1,1.42
"08NN003",1919,2,1.42
"08NN003",1919,3,1.572
"08NN003",1919,4,18.912
"08NN003",1919,5,51.245
"08NN003",1919,6,30.343
"08NN003",1919,7,6.092
"08NN003",1919,8,1.526
"08NN003",1919,9,1.737
"08NN003",1919,10,1.466
"08NN003",1919,11,1.838
"08NN003",1919,12,1.42
"08NN003",1920,1,1.13
"08NN003",1920,2,1.13
"08NN003",1920,3,1.432
"08NN003",1920,4,2.832
"08NN003",1920,5,27.268
"08NN003",1920,6,38.217
"08NN003",1920,7,9.9
"08NN003",1920,8,1.591
"08NN003",1920,9,3.209
"08NN003",1920,10,5.068
"08NN003",1920,11,2.764
"08NN003",1920,12,2.507
"08NN003",1921,1,2.55
"08NN003",1921,2,2.55
"08NN003",1921,3,2.124
"08NN003",1921,4,14.631
"08NN003",1921,5,71.965
"08NN003",1921,6,49.613
"08NN003",1921,7,6.568
"08NN003",1921,8,1.65
"08NN003",1921,9,1.481
"08NN003",1975,4,9.605
"08NN003",1975,5,70.135
"08NN003",1975,6,50.937
"08NN003",1975,7,9.412
"08NN003",1975,8,2.569
"08NN003",1975,9,2.152
"08NN003",1975,10,1.28
"08NN003",1976,3,2.023
"08NN003",1976,4,17.064
"08NN003",1976,5,81.968
"08NN003",1976,6,50.897
"08NN003",1976,7,16.055
"08NN003",1976,8,16.161
"08NN003",1976,9,10.443
"08NN003",1977,3,1.85
"08NN003",1977,4,18.59
"08NN003",1977,5,42.252
"08NN003",1977,6,23.316
"08NN003",1977,7,3.799
"08NN003",1977,8,1.019
"08NN003",1977,9,1.152
"08NN003",1978,3,20.2
"08NN003",1978,4,34.357
"08NN003",1978,5,58.906
"08NN003",1978,6,39.23
"08NN003",1978,7,9.242
"08NN003",1978,8,2.587
"08NN003",1978,9,10.274
"08NN003",1978,10,8.24
"08NN003",1979,3,3.34
"08NN003",1979,4,11.243
"08NN003",1979,5,56.6
"08NN003",1979,6,16.55
"08NN003",1979,7,3.906
"08NN003",1979,8,1.096
"08NN003",1979,9,1.259
"08NN003",1980,4,37.219
"08NN003",1980,5,52.445
"08NN003",1980,6,26.323
"08NN003",1980,7,8.624
"08NN003",1980,8,2.336
"08NN003",1980,9,3.36
"08NN003",1981,3,9.63
"08NN003",1981,4,22.568
"08NN003",1981,5,74.274
"08NN003",1981,6,48.493
"08NN003",1981,7,25.026
"08NN003",1981,8,7.52
"08NN003",1981,9,3.179
"08NN003",1982,3,6.92
"08NN003",1982,4,17.292
"08NN003",1982,5,79.168
"08NN003",1982,6,39.803
