"year","summer_7day_min"
1975,3.208571434021
1976,13.1285712378366
1977,1.82142855439867
1978,5.37285723005022
1979,1.95428568976266
1980,4.75857148851667
1981,5.98999997547695
1982,8.0557141985212
1983,7.47428573880877
1984,3.95428572382246
1985,2.14428574698312
1986,3.85285711288452
1987,1.72142856461661
1988,1.72714286191123
1989,2.88142854826791
1990,2.88428568840027
1991,2.04285717010498
1992,3.42714282444545
1993,5.8057142666408
1994,2.42285711424692
1995,2.3400000163487
1996,3.27999997138977
1997,6.18285710471017
1998,1.53428571564811
1999,4.79571431023734
2000,3.52285712105887
2001,1.92571428843907
2002,1.79571427617754
2003,0.984285720757075
2004,3.61285717146737
2007,1.37857142516545
2008,2.08571427209037
2009,1.43714284896851
2010,2.57571428162711
2011,1.8957142829895
2012,2
2013,3.0557142666408
2014,2.88000001226153
2015,1.41857143810817
2016,2.9171428339822
2017,1.11142858437129
2018,1.63571427549635
2019,3.30857144083296
2020,1.58142856189183
2021,1.01128570522581
2022,1.52714286531721
2023,1.01785712582724
2024,1.93714284896851
