"wyday","p10","p25","p50","p75","p90","n"
1,0,0,0,0,0,412
2,0,0,0,0,0,412
3,0,0,0,0,0,412
4,0,0,0,0,3,413
5,0,0,0,0,4,413
6,0,0,0,0,7,413
7,0,0,0,0,8.8,413
8,0,0,0,0,12,435
9,0,0,0,0,18.2,435
10,0,0,0,0,22,435
11,0,0,0,0,25.2,435
12,0,0,0,0,26.6,435
13,0,0,0,4,31.6,435
14,0,0,0,5,34,435
15,0,0,0,8,37.2,435
16,0,0,0,11,38,434
17,0,0,0,12.8,41,434
18,0,0,0,15,45,434
19,0,0,0,19,46,434
20,0,0,0,23.8,48.7,434
21,0,0,0,26,49.7,434
22,0,0,1,29,52,433
23,0,0,4,32,56,433
24,0,0,7,34,58.8,433
25,0,0,8,38,60,433
26,0,0,11,39,63.8,433
27,0,0,12,41,64,433
28,0,0,15,45,70.8,433
29,0,0,19,46,71.8,433
30,0,3,21,50,73.8,433
31,0,4,23,52,74,434
32,0,7,26,56.8,75,434
33,0,8,28,60,75.7,434
34,0,11,30,61,79,434
35,3,15,31,64,81.7,434
36,4,17.2,34,64.8,84.7,434
37,5,19,36,68,88,435
38,7.4,21,38,71,90,435
39,9,23,38,73,98,435
40,13,25.5,41,75,101,435
41,15,27,42,78,105,435
42,15.4,29,45,81.5,105,435
43,19,30,50,85.5,108,435
44,19.4,31,53,90,109,435
45,21.4,34,55,96,113,435
46,23,34,59,97,117,435
47,26,37,62,101,119.6,435
48,28,38,68,105,124,435
49,30,40.5,72,108,130,435
50,30,42,79,109,132,435
51,33.4,45,82,114.5,136,435
52,34,49,87,117,138.6,435
53,36.4,51,93,119.5,142,435
54,38,53,97,123,145.6,435
55,39.4,60,99,126.5,152,435
56,41,61,101,130,154.6,435
57,41,67.5,105,132.5,157.6,435
58,43.4,68,109,135,166.8,435
59,45.4,71,113,139,173,435
60,48.4,72,116,143,180,435
61,49.8,75,118,146,183,435
62,53,75.5,120,146,186.6,435
63,55,79,124,150,188,435
64,60,82,124,151.5,191.6,435
65,61,83,128,157,195.6,435
66,63.4,83.5,129,161,203,435
67,64,86.5,131,165,205.6,435
68,68,94,132,170.5,209.6,435
69,72,96.5,135,174.5,218,435
70,74.4,98,138,180,221.6,435
71,75,98,140,185.5,225.6,435
72,79,101,143,188,226.6,435
73,83,105.5,146,193.5,229,435
74,83,109,150,199.5,236.6,435
75,86.4,109,151,203.5,244,435
76,91.2,113,157,207,247,435
77,94,116,161,210,247.6,435
78,94.4,117.5,163,214,251.6,435
79,98,120.5,166,218,255.6,435
80,99.4,124,169,222.5,262,435
81,103.4,127,172,225,264,435
82,106,131,176,228.5,268,435
83,108,135,180,233,271,435
84,109,139,180,236,275,435
85,113,141,184,238.5,279,435
86,116,146,188,246.5,284.6,435
87,118,152,192,250,289,435
88,121,157.5,195,255,291,435
89,124,161,199,262.5,295,435
90,124,165,204,266.5,297.6,435
91,128,168,206,269.5,300,435
92,135,169,213,273,302,435
93,137.4,169,223,278,306.6,435
94,139,173,229,281.5,308,435
95,143,175,233,285,311,435
96,146,180,233,287,314.6,435
97,148.8,183.5,236,289,316,435
98,150,185,243,295,319,435
99,150,187,246,297.5,324.8,435
100,154,189.5,248,300,326,435
101,155.4,194,252,303,330,435
102,156.8,199.5,259,308,333.6,435
103,159.2,203,259,311,337.6,435
104,161,203,263,313.5,341.6,435
105,161,207.5,265,315.5,348.6,435
106,161,209,267,317,352.6,435
107,165,213,274,318,356.2,435
108,169,217,278,320,364,435
109,170,224.5,280,325.5,369.4,435
110,173,233,285,326,371,435
111,176,239.5,287,329.5,374.6,435
112,186.4,240,289,331,378.2,435
113,188,244,293,333.5,381.6,435
114,191,244,294,336,384.8,435
115,192.8,244,296,339,386.6,435
116,197.8,248,298,340.5,390.2,435
117,204,251,300,344,396.6,435
118,208.4,253.5,302,353.5,398,435
119,215,255,304,356,398,435
120,216.4,257.5,304,360,407.2,435
121,220.4,263,308,362,414.6,435
122,223,263,308,367.5,420,435
123,225,265,311,372,424,435
124,227.4,266,315,378,426.6,435
125,229,269.5,315,379,431,435
126,230.4,270,318,380,432.2,435
127,232,270,321,382,435.6,435
128,233,274,323,385.5,439.6,435
129,233,274,326,395.5,443,435
130,233.4,274,334,398,447,435
131,235.2,277,338,405,450,435
132,239,278,340,414,452,435
133,241.6,279.5,342,420.5,456,435
134,245.4,282.5,343,426,460.6,435
135,248,285,345,428,464.6,435
136,248.8,288,345,431,469,435
137,250,289,347,432.5,470.2,435
138,250.8,289.5,349,435,472.6,435
139,252.8,296.5,352,437,473.6,435
140,254.4,301,353,439,477,435
141,254.4,304,356,440.5,480.6,435
142,255.4,308.5,360,443,486.6,435
143,257.2,314,364,446,494.8,435
144,259.8,315,364,451.5,500.8,435
145,261.4,318.5,367,457.5,503.6,435
146,263,320.5,368,465,506,435
147,263,323,371,471,511.2,435
148,263,323,376,473,516.2,435
149,264.2,325,382,478,520.2,435
150,266,327,385,481,524.6,435
151,269.4,329.5,387,488.5,531.2,435
152,274,334,388,495,533.6,435
153,275.8,334,390,498.5,542.8,435
154,277.4,340.5,391,502,548,435
155,279.2,349.5,394,504,559,435
156,283.2,353,398,507,574.6,435
157,284.4,357,398,510,581,435
158,285.8,362.5,401,511,585.6,435
159,289.4,368,405,514,589.6,435
160,293.8,373.5,409,514,595.2,435
161,295.8,375,413,518,603.8,435
162,298.2,377.5,418,519.5,610.2,435
163,301.2,382,424,521,613.6,435
164,304.2,383,428,524.5,620.2,435
165,306.8,383.5,436,525,626.8,435
166,308,387,442,529,633.6,435
167,308.8,388.5,443,534.5,637.2,435
168,309.4,389,446,540,638.6,435
169,310.4,391,450,544,642,435
170,311.4,398,458,548,644.8,435
171,314.8,398,463,551,647,435
172,319,400.5,465,558,649.6,435
173,320.6,403,469,560,652,435
174,324.2,405,471,563.5,653,435
175,329.2,407.5,473,570,655,435
176,334,409.5,476,572,656,435
177,335.6,412,480,574,662.4,435
178,338,415.5,484,574,666.8,435
179,340.8,416,491,577,674,435
180,348.2,417.5,496,579.5,680,435
181,354.2,420,499,583,689.2,435
182,361.6,420,500,586.5,690,435
183,369.2,424,511,589,693.2,435
184,375,427.5,517,593,696,435
185,377.2,431,523,597.5,700.6,435
186,384.2,435,532,611,702.2,435
187,387.6,437,540,618,704,435
188,391.6,439.5,542,621,706.2,435
189,394,441.5,547,626,708.6,435
190,394,442,547,630,712.4,435
191,394,443,549,631.5,715.6,435
192,394,447,551,634,718.6,435
193,394,449.5,555,634,720.2,435
194,394.4,452,559,638,727.4,435
195,394.4,452,560,641,734.2,435
196,394.4,455,561,643.5,741.4,435
197,395.4,455,562,647,749,435
198,395.4,452,563,652.5,754,435
199,396,452,566,655,755.8,435
200,396,448,567,658,761,435
201,398,446,570,661.5,763.4,435
202,398,444.5,570,664,768.2,435
203,399.2,443,570,664,771.2,435
204,399.2,441,570,667.5,774.8,435
205,399.2,441,570,672.5,778.4,435
206,399.2,443,570,675,781.2,435
207,399.2,443,567,675,782,435
208,399.8,441,566,675.5,776.8,435
209,401,441,566,676.5,767.8,435
210,401,441,566,677.5,767.8,435
211,401.4,443,566,678,767.8,435
212,402.4,443,565,679,767.8,435
213,404,443,565,680,767.8,435
214,403.4,444.5,563,680,764,435
215,403,446,563,680,762.8,435
216,402.4,446,562,678.5,762.8,435
217,398.4,445,561,676.5,762.2,435
218,394,445,560,675,758,435
219,378,445,559,673,758,435
220,357.2,443,559,668,757.6,435
221,345.8,436.5,555,659,757,435
222,336.6,431,555,656,756.6,435
223,320.2,428,553,650.5,756,435
224,313,428,552,643,754,435
225,308.4,412,546,636.5,751,435
226,305,404,540,628.5,750.2,435
227,298.2,394,530,623,745.6,435
228,286.2,381.5,518,615.5,741.6,435
229,270.4,369.5,510,611,732.8,435
230,259,350,497,607,728.6,435
231,237.4,337,488,602.5,722.2,435
232,223.8,325,476,597,711.6,435
233,198.4,319.5,465,593.5,706.6,435
234,161.4,313,445,586.5,694.6,435
235,137.8,300,436,578.5,683,435
236,110.2,285,425,568,673.4,435
237,80.6,268,404,560,662,435
238,50.2,243,393,550.5,635.2,435
239,27.4,222,383,539,623.6,435
240,4,195.5,367,524,608.6,435
241,0,156.5,345,511.5,601.6,435
242,0,125,334,491,595.8,435
243,0,94.5,320,476,589.6,435
244,0,74,301,454,582.6,435
245,0,50.5,281,440.5,575.6,435
246,0,31.5,255,425,570.2,435
247,0,7.5,228,397,564.6,435
248,0,2,199,371,555.8,435
249,0,0,172,344,543.6,435
250,0,0,141,321,524.8,435
251,0,0,112,306,504.2,435
252,0,0,90,283,475.8,435
253,0,0,68,263,445.6,435
254,0,0,53,236.5,429.8,435
255,0,0,36,210,384.8,435
256,0,0,22,188.5,354.4,435
257,0,0,13,162,305.2,435
258,0,0,3,143.5,278.6,435
259,0,0,0,119.5,262.6,435
260,0,0,0,99,238.4,435
261,0,0,0,84.5,218.6,435
262,0,0,0,63,197.4,435
263,0,0,0,53,174.8,435
264,0,0,0,28,160.6,435
265,0,0,0,14,140,435
266,0,0,0,0,114,434
267,0,0,0,0,93.6,433
268,0,0,0,0,74.7,432
269,0,0,0,0,56,431
270,0,0,0,0,49,430
271,0,0,0,0,16,429
272,0,0,0,0,0,428
273,0,0,0,0,0,427
274,0,0,0,0,0,426
275,0,0,0,0,0,425
276,0,0,0,0,0,424
277,0,0,0,0,0,423
278,0,0,0,0,0,422
279,0,0,0,0,0,421
280,0,0,0,0,0,420
281,0,0,0,0,0,420
282,0,0,0,0,0,420
283,0,0,0,0,0,420
284,0,0,0,0,0,420
285,0,0,0,0,0,420
286,0,0,0,0,0,420
287,0,0,0,0,0,420
288,0,0,0,0,0,420
289,0,0,0,0,0,420
290,0,0,0,0,0,421
291,0,0,0,0,0,422
292,0,0,0,0,0,423
293,0,0,0,0,0,424
294,0,0,0,0,0,425
295,0,0,0,0,0,426
296,0,0,0,0,0,427
297,0,0,0,0,0,428
298,0,0,0,0,0,429
299,0,0,0,0,0,430
300,0,0,0,0,0,431
301,0,0,0,0,0,432
302,0,0,0,0,0,433
303,0,0,0,0,0,434
304,0,0,0,0,0,435
305,0,0,0,0,0,435
306,0,0,0,0,0,435
307,0,0,0,0,0,435
308,0,0,0,0,0,435
309,0,0,0,0,0,435
310,0,0,0,0,0,435
311,0,0,0,0,0,435
312,0,0,0,0,0,435
313,0,0,0,0,0,435
314,0,0,0,0,0,435
315,0,0,0,0,0,435
316,0,0,0,0,0,435
317,0,0,0,0,0,435
318,0,0,0,0,0,435
319,0,0,0,0,0,435
320,0,0,0,0,0,435
321,0,0,0,0,0,435
322,0,0,0,0,0,435
323,0,0,0,0,0,435
324,0,0,0,0,0,435
325,0,0,0,0,0,435
326,0,0,0,0,0,435
327,0,0,0,0,0,435
328,0,0,0,0,0,435
329,0,0,0,0,0,435
330,0,0,0,0,0,435
331,0,0,0,0,0,435
332,0,0,0,0,0,435
333,0,0,0,0,0,435
334,0,0,0,0,0,435
335,0,0,0,0,0,435
336,0,0,0,0,0,435
337,0,0,0,0,0,435
338,0,0,0,0,0,435
339,0,0,0,0,0,435
340,0,0,0,0,0,435
341,0,0,0,0,0,435
342,0,0,0,0,0,435
343,0,0,0,0,0,435
344,0,0,0,0,0,435
345,0,0,0,0,0,435
346,0,0,0,0,0,435
347,0,0,0,0,0,435
348,0,0,0,0,0,435
349,0,0,0,0,0,435
350,0,0,0,0,0,435
351,0,0,0,0,0,435
352,0,0,0,0,0,435
353,0,0,0,0,0,435
354,0,0,0,0,0,435
355,0,0,0,0,0,434
356,0,0,0,0,0,434
357,0,0,0,0,0,434
358,0,0,0,0,0,434
359,0,0,0,0,0,412
360,0,0,0,0,0,412
361,0,0,0,0,0,412
362,0,0,0,0,0,412
363,0,0,0,0,0,412
364,0,0,0,0,0,412
365,0,0,0,0,0,412
366,0,0,0,0,0,412
